xuhao,type,content,answer,A,B,C,D,E,F
1,单选题,1.中国共产党第十九次全国代表大会，是在全面建成小康社会____、中国特色社会主义进入新时代的关键时期召开的一次十分重要的大会。,D,完成阶段,攻坚阶段,关键阶段,决胜阶段,,
2,单选题,2.党的十九大报告指出，经过长期努力，中国特色社会主义进入了新时代，这是我国发展新的____。,A,历史方位,历史定位,历史阶段,历史时期,,
3,单选题,3.党的十九大的主题是：____，高举中国特色社会主义伟大旗帜，决胜全面建成小康社会，夺取新时代中国特色社会主义伟大胜利，为实现中华民族伟大复兴的中国梦不懈奋斗。,B,不忘初心，继续前进,不忘初心，牢记使命,不忘初心，方得始终,不忘初心，砥砺前行,,
4,单选题,4.中国共产党人的初心和使命，就是为中国人民____，为中华民族____。这个初心和使命是激励中国共产党人不断前进的根本动力。,C,谋幸福 谋未来,谋生活 谋复兴,谋幸福 谋复兴,谋生活 谋未来,,
5,单选题,5.中国特色社会主义进入新时代，意味着____在二十一世纪的中国焕发出强大生机活力，在世界上高高举起了中国特色社会主义伟大旗帜。,C,社会主义,共产主义,科学社会主义,中国特色社会主义,,
6,单选题,6.党的十九大报告指出，面对世界经济复苏乏力、局部冲突和动荡频发、全球性问题加剧的外部环境，面对我国经济发展进入新常态等一系列深刻变化，我们坚持____工作总基调，迎难而上，开拓进取，取得了改革开放和社会主义现代化建设的历史性成就。,C,以进为主,舍进求稳,稳中求进,多快好省,,
7,单选题,7.党的十九大报告指出，五年来，我们坚持反腐败无禁区、全覆盖、零容忍，坚定不移“打虎”、“拍蝇”、“猎狐”，____的目标初步实现，____的笼子越扎越牢，____的堤坝正在构筑，反腐败斗争压倒性态势已经形成并巩固发展。,A,不敢腐 不能腐 不想腐,不能腐 不敢腐 不想腐,不想腐 不敢腐 不能腐,不敢腐 不想腐 不能腐,,
8,单选题,8.在现阶段，我国社会主要矛盾已经转化为人民日益增长的____需要和____的发展之间的矛盾。,D,美好生活 不充分不平衡,小康生活 不平衡不充分,小康生活 不充分不平衡,美好生活 不平衡不充分,,
9,单选题,9.必须认识到，我国社会主要矛盾的变化，没有改变我们对我国社会主义所处历史阶段的判断，我国仍处于____并将长期处于的基本国情没有变，我国是世界最大发展中国家的国际地位没有变。,B,社会主义阶段,社会主义初级阶段,社会主义中级阶段,共产主义初级阶段,,
10,单选题,10.全党要牢牢把握社会主义初级阶段这个基本国情，牢牢立足____这个最大实际。,D,社会主义,共产主义,中国特色社会主义,社会主义初级阶段,,
11,单选题,11.全党要牢牢坚持____这个党和国家的生命线、人民的幸福线，领导和团结全国各族人民，以经济建设为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业，为把我国建设成为富强民主文明和谐美丽的社会主义现代化强国而奋斗。,A,党的基本路线,党的基本方针,党的基本政策,党的基本方略,,
